property_description,address,price,size_m2,number_rooms,number_bathrooms,number_parking_spaces
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 1.500 /month,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Jardim Sontag, Salto - SP",BRL 260.000,62,2,2,1
"Apartamento com 2 Quartos para Aluguel, 53m2","Parque Bela Vista, Salto - SP",BRL 1.800 /month,53,2,1,1
"Apartamento com 2 Quartos para Aluguel, 60m2","Rua Estados Unidos, 195 - Guaraú, Salto - SP",BRL 290.000,60,2,2,1
"Apartamento com 2 Quartos para Aluguel, 75m2","Da Estação, Salto - SP",BRL 1.550 /month,75,2,2,2
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Vila Teixeira, Salto - SP",BRL 1.350 /month,114,2,3,2
"Apartamento com 2 Quartos para Aluguel, 70m2","Rua Floriano Peixoto, 1832 - Jardim das Nações, Salto - SP",BRL 1.500 /month,70,2,2,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Parque Bela Vista, Salto - SP",BRL 3.200 /month,63,3,1,1
"Apartamento com 2 Quartos para Aluguel, 53m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 480.000,53,2,1,1
"Apartamento com 2 Quartos para Aluguel, 45m2","Vila Nova, Salto - SP",BRL 2.000 /month,45,2,1,--
"Apartamento com 2 Quartos para Aluguel, 60m2","Jardim America, Salto - SP",BRL 2.300 /month,60,2,1,1
"Apartamento com 2 Quartos para Aluguel, 79m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 320.000,79,2,2,1
"Apartamento com 2 Quartos para Aluguel, 53m2","Parque Bela Vista, Salto - SP",BRL 2.101 /month,53,2,1,1
Apartamento com 3 Quartos para Venda/Aluguel 126m2,"Rua Rodrigues Alves, 570 - Centro, Salto - SP",BRL 850 /month,126,3,2,2
Apartamento com Quarto para Venda/Aluguel 102m2,"Vila Teixeira, Salto - SP",BRL 1.450 /month,102,1,2,1
Apartamento com 2 Quartos à Venda/Aluguel 93m2,"Rua Joaquim Nabuco, 140 - Vila Teixeira, Salto - SP",BRL 3.900 /month,93,2,3,--
"Apartamento com 2 Quartos para Aluguel, 95m2","Da Estação, Salto - SP",BRL 2.200 /month,95,2,2,2
Apartamento com 2 Quartos para Venda/Aluguel 60m2,"Jardim America, Salto - SP",BRL 1.800 /month,60,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 53m2,"Parque Bela Vista, Salto - SP",BRL 720.000,53,2,1,--
"Apartamento com 2 Quartos para Aluguel, 60m2","Jardim Sontag, Salto - SP",BRL 4.500 /month,60,2,2,--
"Apartamento com 2 Quartos para Aluguel, 55m2","Jardim Três Marias, Salto - SP",BRL 700.000,55,2,1,--
Apartamento com 2 Quartos para Venda/Aluguel 61m2,"Jardim Três Marias, Salto - SP",BRL 4.300 /month,61,2,1,1
"Apartamento com 2 Quartos para Aluguel, 46m2","Salto Ville, Salto - SP",BRL 550.000,46,2,1,2
"Apartamento com 2 Quartos para Aluguel, 63m2","Loteamento Jardim das Constelacoes, Salto - SP",BRL 1.700 /month,63,2,1,1
"Apartamento com 2 Quartos para Aluguel, 53m2","Centro, Salto - SP",BRL 1.450 /month,53,2,1,1
Apartamento com 3 Quartos para Venda/Aluguel 126m2,"Vila Teixeira, Salto - SP",BRL 220.000,126,3,2,2
"Apartamento com 2 Quartos para Aluguel, 114m2","Centro, Salto - SP",BRL 2.500 /month,114,2,2,3
"Apartamento com 3 Quartos para Aluguel, 70m2","Jardim Planalto, Salto - SP",BRL 270.000,70,3,2,2
"Apartamento com 2 Quartos para Aluguel, 45m2","Centro, Salto - SP",BRL 2.100 /month,45,2,1,1
Apartamento com 3 Quartos para Venda/Aluguel 126m2,"Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 1.350 /month,126,3,2,2
"Apartamento com 2 Quartos para Aluguel, 44m2","Rua Rio Pardo, 74 - TERRA SANTA ROSA, Salto - SP",BRL 1.200 /month,44,2,1,1
"Apartamento com 5 Quartos para Aluguel, 1000m2","Jardim Sontag, Salto - SP",BRL 250.000,1000,5,7,4
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Centro, Salto - SP",BRL 1.500 /month,62,2,2,1
"Apartamento com 3 Quartos para Aluguel, 135m2","Centro, Salto - SP",BRL 1.780 /month,135,3,1,2
"Apartamento com 2 Quartos para Aluguel, 55m2","Centro, Salto - SP",BRL 1.800 /month,55,2,1,1
Apartamento com 3 Quartos para Venda/Aluguel 154m2,"Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 720.000,154,3,3,2
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Jardim Sontag, Salto - SP",BRL 3.800 /month,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Parque Bela Vista, Salto - SP",BRL 2.500 /month,62,2,2,1
"Apartamento com 2 Quartos para Aluguel, 53m2","Rua Estados Unidos, 195 - Guaraú, Salto - SP",BRL 1.300 /month,53,2,1,1
"Apartamento com 2 Quartos para Aluguel, 60m2","Da Estação, Salto - SP",BRL 1.800 /month,60,2,2,1
"Apartamento com 2 Quartos para Aluguel, 75m2","Vila Teixeira, Salto - SP",BRL 720.000,75,2,2,2
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua Floriano Peixoto, 1832 - Jardim das Nações, Salto - SP",BRL 1.000 /month,114,2,3,2
"Apartamento com 2 Quartos para Aluguel, 70m2","Parque Bela Vista, Salto - SP",BRL 7.400 /month,70,2,2,2
